DaysBeingCustomer,Recency,Age,Income,Education,Marital_Status,Kids,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumStorePurchases,NumCatalogPurchases,NumWebPurchases,NumWebVisitsMonth,TotalProductsL2Y,TotalPurchasesL2Y,AvgProductsPerTrip,SharePurchasesOnDeal
615,3,34,80011.0,Graduate,Married,1,421,76,536,82,178,102,2,5,6,8,4,1395,19,73.4,10.5
397,88,29,20559.0,Postgraduate,Married,1,13,1,29,3,0,7,2,3,0,2,8,53,5,10.6,40.0
741,4,57,21994.0,Graduate,Together,1,9,0,6,3,1,3,1,3,0,0,5,22,3,7.3,33.3
603,80,55,52143.19977678572,Postgraduate,Single,0,81,11,50,3,2,39,1,4,3,1,2,186,8,23.2,12.5
693,19,39,7500.0,Postgraduate,Married,1,3,1,10,3,2,12,3,3,0,2,5,31,5,6.2,60.0
190,72,38,79941.0,Graduate,Single,0,123,164,266,227,30,174,1,9,4,2,1,984,15,65.6,6.7
845,24,18,7500.0,Undergraduate,Married,0,3,18,14,15,22,50,3,3,1,3,9,122,7,17.4,42.9
590,92,46,41728.0,Graduate,Together,1,13,6,15,3,5,13,1,2,0,2,10,55,4,13.8,25.0
368,96,63,52143.19977678572,Graduate,Single,3,48,5,48,6,10,7,3,4,1,2,6,124,7,17.7,42.9
876,39,60,72550.0,Postgraduate,Married,2,826,50,317,50,38,38,9,12,2,5,8,1319,19,69.4,47.4
30,29,57,65486.0,Graduate,Widow,1,245,19,125,37,67,14,1,10,2,4,2,507,16,31.7,6.2
787,2,50,79143.0,Postgraduate,Married,0,650,37,780,27,167,32,1,13,9,6,3,1693,28,60.5,3.6
702,54,37,35790.0,Graduate,Single,1,12,6,20,30,1,3,2,3,0,2,7,72,5,14.4,40.0
182,54,37,82582.0,Graduate,Divorced,0,510,120,550,156,40,241,1,7,9,4,1,1617,20,80.8,5.0
394,57,36,66373.0,Graduate,Married,2,328,9,124,12,24,109,7,10,2,4,3,606,16,37.9,43.8
776,55,59,82384.0,Postgraduate,Together,0,984,51,432,180,120,190,1,13,10,3,1,1957,26,75.3,3.8
699,30,48,70287.0,Graduate,Divorced,0,295,35,482,121,120,40,1,10,5,5,3,1093,20,54.6,5.0
251,31,26,27938.0,Graduate,Single,1,13,0,8,2,1,5,1,4,0,1,3,29,5,5.8,20.0
566,57,32,52143.19977678572,Graduate,Single,1,11,3,22,2,2,6,2,3,0,2,6,46,5,9.2,40.0
307,63,46,55954.0,Postgraduate,Married,1,447,0,28,0,0,43,3,6,2,8,7,518,16,32.4,18.8
637,12,32,75777.0,Postgraduate,Single,0,712,26,538,69,13,80,1,11,6,3,1,1438,20,71.9,5.0
909,18,39,66653.0,Graduate,Together,2,452,18,102,16,18,6,4,12,2,4,3,612,18,34.0,22.2
685,26,62,61823.0,Graduate,Single,1,523,7,134,37,14,169,4,10,2,8,7,884,20,44.2,20.0
424,8,63,67680.0,Postgraduate,Widow,1,546,0,48,0,6,6,1,8,3,7,5,606,18,33.7,5.6
571,29,66,70666.0,Graduate,Together,0,398,40,367,119,122,30,1,4,4,7,4,1076,15,71.7,6.7
593,75,43,25721.0,Graduate,Married,1,1,3,6,3,6,15,1,2,1,1,7,34,4,8.5,25.0
60,0,47,32474.0,Graduate,Together,2,10,0,1,0,0,0,1,2,0,1,7,11,3,3.7,33.3
291,19,35,88194.0,Undergraduate,Single,1,688,14,309,201,24,38,1,10,10,11,5,1274,31,41.1,3.2
464,4,56,69096.0,Graduate,Together,1,247,49,159,7,82,109,1,10,2,5,4,653,17,38.4,5.9
518,90,44,74854.0,Graduate,Together,3,856,59,487,58,29,73,7,5,5,2,5,1562,12,130.2,58.3
786,1,60,66991.0,Postgraduate,Married,0,496,36,460,189,60,12,3,6,8,4,3,1253,18,69.6,16.7
842,25,41,52143.19977678572,Undergraduate,Married,1,25,3,43,17,4,17,3,3,0,3,8,109,6,18.2,50.0
658,29,55,65031.0,Graduate,Married,1,258,107,291,84,37,86,4,13,3,10,7,863,26,33.2,15.4
610,88,39,60631.0,Postgraduate,Married,2,565,6,65,0,6,19,5,8,2,9,7,661,19,34.8,26.3
249,58,62,28332.0,Graduate,Married,0,14,10,13,4,15,9,1,4,1,2,2,65,7,9.3,14.3
746,68,37,40246.0,Graduate,Divorced,1,2,1,6,2,1,1,1,2,0,1,6,13,3,4.3,33.3
860,34,42,75251.0,Postgraduate,Married,0,721,111,925,97,18,18,1,5,6,7,5,1890,18,105.0,5.6
755,40,38,75825.0,Graduate,Single,0,1032,105,779,137,105,51,0,9,8,5,4,2209,22,100.4,0.0
635,12,38,26326.0,Undergraduate,Together,0,1,0,5,0,3,9,1,3,0,0,3,18,3,6.0,33.3
702,9,49,56046.0,Graduate,Together,0,577,0,64,0,0,51,2,8,1,10,8,692,19,36.4,10.5
858,87,29,29760.0,Graduate,Single,1,64,4,68,7,5,17,4,4,1,3,8,165,8,20.6,50.0
560,5,45,26304.0,Graduate,Married,1,4,1,5,2,0,4,1,2,0,1,7,16,3,5.3,33.3
668,87,41,23559.0,Undergraduate,Married,1,25,5,19,7,0,23,3,3,0,3,7,79,6,13.2,50.0
425,56,51,38620.0,Postgraduate,Together,0,112,17,44,34,22,89,1,3,5,2,3,318,10,31.8,10.0
313,18,27,81361.0,Graduate,Divorced,0,163,23,424,27,65,76,1,13,10,3,1,778,26,29.9,3.8
422,95,54,29440.0,Graduate,Married,2,17,8,14,10,4,3,2,4,0,1,7,56,5,11.2,40.0
537,48,44,36138.0,Postgraduate,Married,2,130,0,16,0,0,5,5,4,1,3,7,151,8,18.9,62.5
221,3,57,50388.0,Graduate,Single,1,292,6,37,0,3,34,4,6,1,6,7,372,13,28.6,30.8
30,70,41,79593.0,Graduate,Married,0,350,60,568,110,133,145,1,7,6,5,2,1366,18,75.9,5.6
348,79,47,54178.0,Graduate,Together,1,135,9,39,4,0,7,1,5,2,2,2,194,9,21.6,11.1
776,4,57,52143.19977678572,Postgraduate,Married,3,230,42,192,49,37,53,12,8,2,7,9,603,17,35.5,70.6
222,45,57,52143.19977678572,Graduate,Single,2,7,0,8,2,0,1,1,2,0,1,7,18,3,6.0,33.3
407,87,41,52143.19977678572,Postgraduate,Together,0,445,37,359,98,28,18,1,8,4,2,1,985,14,70.4,7.1
287,69,42,42394.0,Postgraduate,Single,1,15,2,10,0,1,4,1,3,0,1,7,32,4,8.0,25.0
225,84,44,23626.0,Postgraduate,Married,1,27,2,14,0,0,0,3,3,1,3,5,43,7,6.1,42.9
227,30,31,30096.0,Graduate,Married,1,5,3,11,12,5,9,1,3,0,2,6,45,5,9.0,20.0
773,72,54,47916.0,Graduate,Widow,1,505,0,26,0,0,75,5,6,4,7,6,606,17,35.6,29.4
426,37,42,51813.0,Graduate,Divorced,2,51,2,7,0,1,2,2,3,0,2,7,63,5,12.6,40.0
722,44,63,78497.0,Undergraduate,Married,0,207,26,447,75,0,223,1,12,7,5,2,978,24,40.8,4.2
563,32,31,50150.0,Postgraduate,Married,0,135,46,92,65,61,11,2,7,2,5,5,410,14,29.3,14.3
530,0,54,47823.0,Undergraduate,Single,1,53,1,5,2,1,10,2,3,0,2,8,72,5,14.4,40.0
280,43,55,34554.0,Postgraduate,Single,1,41,1,6,2,0,5,2,3,0,2,6,55,5,11.0,40.0
624,59,35,85693.0,Graduate,Together,1,386,172,183,185,132,111,2,11,5,9,5,1169,25,46.8,8.0
597,68,69,65846.0,Postgraduate,Married,0,562,81,276,80,40,81,1,6,3,6,4,1120,15,74.7,6.7
152,35,55,87195.0,Graduate,Married,0,217,76,690,50,26,38,1,5,11,3,1,1097,19,57.7,5.3
449,94,35,24594.0,Undergraduate,Together,1,1,3,6,10,0,9,1,3,0,1,5,29,4,7.2,25.0
467,15,50,49096.0,Graduate,Married,2,144,1,32,2,1,7,4,4,1,4,7,187,9,20.8,44.4
701,56,45,52413.0,Graduate,Married,2,295,106,271,75,98,65,4,12,4,6,6,910,22,41.4,18.2
746,17,36,38557.0,Graduate,Single,1,76,3,31,4,4,27,2,3,1,3,7,145,7,20.7,28.6
906,18,54,89058.0,Postgraduate,Married,0,454,194,106,31,22,43,1,4,4,5,2,850,13,65.4,7.7
692,46,35,77298.0,Graduate,Together,1,425,115,292,23,35,79,1,11,6,6,3,969,23,42.1,4.3
815,40,23,68126.0,Postgraduate,Single,0,1332,17,311,23,51,86,1,5,4,7,9,1820,16,113.8,6.2
193,27,51,57288.0,Postgraduate,Together,1,527,0,21,0,0,60,3,8,1,8,6,608,17,35.8,17.6
702,95,23,86037.0,Graduate,Single,0,490,44,125,29,20,22,1,11,7,6,3,730,24,30.4,4.2
753,19,34,43974.0,Postgraduate,Married,1,378,0,101,0,0,72,5,6,4,6,7,551,16,34.4,31.2
452,27,52,50785.0,Graduate,Single,2,64,1,21,0,1,27,2,3,1,2,6,114,6,19.0,33.3
345,25,44,90765.0,Graduate,Married,0,547,99,812,151,82,33,0,5,6,4,1,1724,15,114.9,0.0
684,74,36,36550.0,Undergraduate,Married,1,47,90,94,123,103,120,5,5,1,9,9,577,15,38.5,33.3
423,85,47,30753.0,Undergraduate,Together,2,12,5,25,0,9,30,2,3,1,1,5,81,5,16.2,40.0
416,37,45,21918.0,Graduate,Together,1,1,6,7,11,5,3,2,3,0,2,6,33,5,6.6,40.0
563,65,61,56129.0,Postgraduate,Together,1,320,48,133,39,72,48,4,10,2,6,4,660,18,36.7,22.2
314,13,47,32557.0,Postgraduate,Single,1,34,3,29,0,4,10,3,3,1,2,5,80,6,13.3,50.0
635,63,29,19510.0,Postgraduate,Married,2,9,0,7,3,4,7,2,3,0,1,7,30,4,7.5,50.0
622,83,38,30992.0,Graduate,Divorced,1,17,0,14,7,3,2,1,3,0,1,7,43,4,10.8,25.0
397,69,31,101970.0,Graduate,Single,0,722,27,102,44,72,168,0,13,8,6,2,1135,27,42.0,0.0
685,87,49,71488.0,Undergraduate,Together,0,162,33,124,40,28,172,2,7,4,3,1,559,14,39.9,14.3
623,37,30,79607.0,Graduate,Single,0,450,133,951,173,0,216,1,6,6,3,1,1923,15,128.2,6.7
151,51,61,54348.0,Postgraduate,Married,2,70,0,16,0,0,4,2,4,0,2,6,90,6,15.0,33.3
423,23,53,52143.19977678572,Postgraduate,Married,1,352,0,27,10,0,15,3,7,1,6,6,404,14,28.9,21.4
91,72,58,77376.0,Postgraduate,Together,2,492,19,110,16,12,12,4,10,3,6,4,661,19,34.8,21.1
461,10,62,62998.0,Graduate,Married,1,120,58,73,65,89,58,5,5,4,5,5,463,14,33.1,35.7
458,42,56,61331.0,Postgraduate,Single,2,534,5,47,0,5,41,5,6,1,11,8,632,18,35.1,27.8
94,10,45,73448.0,Graduate,Married,0,236,106,189,23,41,130,1,9,2,7,4,725,18,40.3,5.6
422,96,51,52143.19977678572,Graduate,Married,1,231,65,196,38,71,124,1,7,5,6,4,725,18,40.3,5.6
508,51,50,41551.0,Postgraduate,Married,2,220,0,33,3,0,23,5,5,1,5,8,279,11,25.4,45.5
658,21,47,62981.0,Postgraduate,Together,0,796,14,590,38,44,0,1,13,5,4,3,1482,22,67.4,4.5
879,31,38,9548.0,Undergraduate,Divorced,1,0,1,3,10,6,9,2,3,0,1,8,29,4,7.2,50.0
546,61,55,33762.0,Postgraduate,Married,3,53,1,34,2,0,16,3,2,2,2,8,106,6,17.7,50.0
230,37,41,35860.0,Postgraduate,Single,2,15,0,8,4,2,20,2,2,1,1,5,49,4,12.2,50.0
525,74,49,36921.0,Postgraduate,Divorced,2,17,1,12,3,1,4,2,3,0,2,7,38,5,7.6,40.0
807,46,22,92859.0,Postgraduate,Single,0,962,61,921,52,61,20,1,12,4,5,2,2077,21,98.9,4.8
416,4,38,65104.0,Postgraduate,Together,1,738,0,232,13,20,50,2,7,5,3,7,1053,15,70.2,13.3
625,73,52,86111.0,Graduate,Married,0,399,28,756,36,40,126,1,10,7,5,2,1385,22,63.0,4.5
494,47,40,68352.0,Postgraduate,Single,1,614,16,132,43,33,33,3,9,5,8,6,871,22,39.6,13.6
656,13,26,41883.0,Graduate,Together,1,32,34,41,73,16,116,3,3,2,4,7,312,9,34.7,33.3
808,36,38,59809.0,Graduate,Married,2,598,16,141,32,41,49,3,6,3,3,8,877,12,73.1,25.0
798,47,39,23957.0,Graduate,Married,1,2,1,18,20,11,16,1,3,0,2,6,68,5,13.6,20.0
494,49,33,38547.0,Graduate,Together,1,6,1,10,0,1,4,1,2,0,1,8,22,3,7.3,33.3
865,94,41,35688.0,Undergraduate,Married,3,73,3,90,12,1,32,7,4,1,4,8,211,9,23.4,77.8
197,65,48,49605.0,Postgraduate,Married,0,42,16,29,12,20,8,1,4,1,2,3,127,7,18.1,14.3
255,59,61,59354.0,Postgraduate,Married,2,295,21,78,39,13,13,1,7,4,4,3,459,15,30.6,6.7
185,96,45,65747.0,Graduate,Married,1,346,17,48,23,13,13,4,6,1,8,6,460,15,30.7,26.7
751,28,42,46344.0,Undergraduate,Together,1,233,20,57,8,20,91,4,5,1,7,7,429,13,33.0,30.8
30,12,26,34176.0,Graduate,Single,1,5,7,24,19,14,20,4,4,0,3,6,89,7,12.7,57.1
846,57,62,61010.0,Postgraduate,Together,1,888,0,57,0,0,76,2,11,5,8,5,1021,24,42.5,8.3
684,10,65,69372.0,Graduate,Together,0,997,26,269,34,13,42,1,6,4,10,4,1381,20,69.0,5.0
515,4,56,49967.0,Graduate,Single,1,212,6,69,4,12,3,3,5,1,6,7,306,12,25.5,25.0
391,49,36,60199.0,Graduate,Single,3,8,1,7,2,0,0,1,3,0,0,4,18,3,6.0,33.3
444,3,37,55375.0,Graduate,Together,1,42,11,57,10,28,14,1,6,1,1,2,162,8,20.2,12.5
502,64,59,80317.0,Graduate,Single,0,536,11,387,149,91,57,1,10,4,3,1,1231,17,72.4,5.9
727,0,56,30523.0,Postgraduate,Single,3,5,0,3,0,0,5,1,2,0,1,7,13,3,4.3,33.3
968,20,69,70356.0,Postgraduate,Married,0,1349,16,249,43,16,33,2,9,6,10,6,1706,25,68.2,8.0
248,91,30,23228.0,Graduate,Married,1,53,3,49,7,4,5,4,4,0,3,8,121,7,17.3,57.1
729,9,39,74165.0,Postgraduate,Divorced,0,1001,12,240,16,12,12,1,10,4,5,2,1293,19,68.1,5.3
366,98,41,157243.0,Postgraduate,Married,1,20,2,1582,1,2,1,15,0,22,0,0,1608,22,73.1,68.2
417,83,48,43482.0,Graduate,Together,3,18,1,32,6,3,28,3,4,0,2,6,88,6,14.7,50.0
412,27,61,62551.0,Graduate,Divorced,0,125,16,98,134,21,27,1,4,7,6,3,421,17,24.8,5.9
494,63,55,52332.0,Graduate,Divorced,0,212,5,33,7,0,2,1,6,2,3,4,259,11,23.5,9.1
692,46,26,66951.0,Graduate,Single,0,277,162,305,173,76,124,1,7,4,3,1,1117,14,79.8,7.1
313,84,57,26091.0,Graduate,Together,2,15,10,19,8,17,20,3,3,1,2,5,89,6,14.8,50.0
258,58,49,33456.0,Graduate,Together,2,7,3,10,8,1,7,2,3,0,1,7,36,4,9.0,50.0
540,78,32,28718.0,Graduate,Married,1,12,4,6,11,8,16,2,3,0,2,8,57,5,11.4,40.0
258,4,44,50447.0,Graduate,Married,2,85,7,24,2,3,27,1,3,1,3,6,148,7,21.1,14.3
339,17,55,53537.0,Postgraduate,Together,2,81,0,6,0,0,6,2,3,1,2,5,93,6,15.5,33.3
275,77,47,52074.0,Graduate,Single,1,59,0,12,0,0,48,1,2,2,2,4,119,6,19.8,16.7
756,56,39,80427.0,Postgraduate,Married,1,1149,71,449,69,71,26,1,8,8,11,5,1835,27,68.0,3.7
749,79,66,83837.0,Postgraduate,Married,0,847,66,119,86,89,111,1,5,10,9,4,1318,24,54.9,4.2
226,90,44,38853.0,Postgraduate,Married,2,29,0,14,0,0,2,2,3,0,2,7,45,5,9.0,40.0
194,96,55,38285.0,Graduate,Together,3,2,0,5,2,0,1,1,3,0,0,2,10,3,3.3,33.3
722,44,63,78497.0,Undergraduate,Married,0,207,26,447,75,0,223,1,12,7,5,2,978,24,40.8,4.2
60,81,38,51650.0,Postgraduate,Married,1,152,3,22,2,5,7,1,4,1,4,5,191,9,21.2,11.1
91,77,26,16248.0,Undergraduate,Married,1,12,11,10,3,12,9,3,3,1,2,6,57,6,9.5,50.0
463,21,68,66835.0,Postgraduate,Married,0,620,26,195,34,17,141,1,13,4,6,2,1033,23,44.9,4.3
347,16,30,30477.0,Postgraduate,Married,1,47,1,6,0,0,12,1,3,1,1,6,66,5,13.2,20.0
203,80,53,28249.0,Undergraduate,Married,0,1,9,7,2,14,10,1,3,0,2,6,43,5,8.6,20.0
967,45,31,25271.0,Graduate,Married,1,10,1,18,10,4,7,1,2,1,1,9,50,4,12.5,25.0
154,63,44,32303.0,Postgraduate,Single,1,35,0,2,0,0,2,2,4,0,1,5,39,5,7.8,40.0
695,34,48,61286.0,Graduate,Married,1,356,0,107,19,9,117,2,8,1,7,5,608,16,38.0,12.5
656,14,38,74068.0,Graduate,Married,0,783,30,537,140,76,15,1,9,10,4,2,1581,23,68.7,4.3
680,13,50,45759.0,Postgraduate,Married,2,42,1,18,3,0,4,2,3,0,2,7,68,5,13.6,40.0
847,52,36,24882.0,Undergraduate,Together,1,1,4,10,29,0,36,1,2,1,1,6,80,4,20.0,25.0
597,98,25,66973.0,Postgraduate,Together,0,466,22,432,147,113,102,1,12,7,8,3,1282,27,47.5,3.7
584,93,26,38872.0,Graduate,Married,1,23,3,21,3,19,22,2,3,0,3,8,91,6,15.2,33.3
685,38,41,51148.0,Graduate,Married,2,235,6,45,8,9,12,4,6,1,5,6,315,12,26.2,33.3
371,24,37,31353.0,Graduate,Married,2,10,0,10,3,1,7,2,2,1,1,8,31,4,7.8,50.0
236,80,34,69661.0,Postgraduate,Married,0,656,16,106,32,16,8,1,12,3,7,3,834,22,37.9,4.5
472,82,60,80067.0,Graduate,Married,0,519,17,813,27,173,51,1,6,6,4,2,1600,16,100.0,6.2
717,20,60,86718.0,Graduate,Married,0,344,189,482,50,33,172,1,5,6,5,2,1270,16,79.4,6.2
279,81,41,46854.0,Postgraduate,Single,2,96,1,79,7,1,79,6,3,1,5,8,263,9,29.2,66.7
189,50,62,69142.0,Graduate,Divorced,1,448,4,34,6,4,39,3,7,1,8,5,535,16,33.4,18.8
479,60,46,75922.0,Graduate,Single,0,265,138,553,224,23,92,1,9,4,4,1,1295,17,76.2,5.9
447,63,36,63693.0,Graduate,Divorced,1,587,43,337,42,87,54,3,9,6,11,6,1150,26,44.2,11.5
1058,54,37,102160.0,Postgraduate,Together,0,763,29,138,76,176,58,0,10,9,7,4,1240,26,47.7,0.0
536,72,49,40637.0,Postgraduate,Single,2,22,0,13,0,0,3,2,3,0,1,7,38,4,9.5,50.0
815,5,30,18890.0,Postgraduate,Single,0,6,4,1,7,2,15,1,2,1,0,6,35,3,11.7,33.3
510,88,26,29604.0,Graduate,Together,1,7,6,13,7,6,14,1,3,0,1,9,53,4,13.2,25.0
601,50,51,48721.0,Postgraduate,Divorced,2,81,18,113,47,13,21,6,5,2,4,6,293,11,26.6,54.5
151,99,48,44794.0,Graduate,Married,1,54,0,7,0,0,4,1,3,0,2,6,65,5,13.0,20.0
817,17,60,64497.0,Graduate,Divorced,1,1170,48,320,42,32,192,5,9,4,11,8,1804,24,75.2,20.8
644,11,58,46097.0,Graduate,Together,1,72,24,68,65,4,8,5,6,1,3,4,241,10,24.1,50.0
292,18,60,77972.0,Graduate,Together,0,613,22,319,33,102,12,1,9,6,4,1,1101,19,57.9,5.3
969,70,46,44377.0,Postgraduate,Married,2,224,0,30,0,0,10,8,5,1,5,8,264,11,24.0,72.7
713,21,40,46014.0,Postgraduate,Together,2,410,0,59,19,9,44,10,8,1,7,7,541,16,33.8,62.5
639,66,29,70951.0,Graduate,Married,0,239,10,554,254,87,54,1,9,4,3,1,1198,16,74.9,6.2
365,79,37,41443.0,Graduate,Married,1,171,7,171,25,19,89,6,5,1,8,8,482,14,34.4,42.9
30,2,36,52195.0,Undergraduate,Single,3,12,0,4,0,0,1,1,2,0,1,8,17,3,5.7,33.3
415,81,66,83790.0,Postgraduate,Married,0,1076,16,417,42,48,16,1,6,10,8,3,1615,24,67.3,4.2
491,24,60,44551.0,Postgraduate,Widow,1,182,4,33,0,0,66,2,5,1,4,7,285,10,28.5,20.0
781,48,34,69508.0,Graduate,Together,1,824,32,162,42,32,43,2,11,4,11,6,1135,26,43.7,7.7
61,93,26,45204.0,Undergraduate,Together,1,30,11,25,29,1,18,1,4,1,1,3,114,6,19.0,16.7
416,56,45,72460.0,Graduate,Married,0,377,10,540,80,30,10,1,7,5,3,1,1047,15,69.8,6.7
265,3,44,77622.0,Postgraduate,Together,2,520,7,154,19,0,14,2,11,3,6,3,714,20,35.7,10.0
613,44,34,30732.0,Postgraduate,Married,1,155,1,25,0,1,3,4,4,1,4,8,185,9,20.6,44.4
878,38,52,63887.0,Graduate,Divorced,1,897,23,207,15,11,92,5,12,6,9,6,1245,27,46.1,18.5
649,46,36,42011.0,Graduate,Together,1,131,0,16,2,1,39,4,4,1,3,8,189,8,23.6,50.0
801,84,38,51369.0,Graduate,Together,1,297,7,79,0,11,182,2,4,2,8,8,576,14,41.1,14.3
844,27,62,51537.0,Graduate,Divorced,1,787,20,204,0,0,92,3,11,2,2,8,1103,15,73.5,20.0
879,72,42,79930.0,Postgraduate,Married,0,792,86,740,67,51,17,1,8,5,3,2,1753,16,109.6,6.2
322,66,28,34320.0,Postgraduate,Together,1,4,1,9,3,0,0,1,2,0,1,8,17,3,5.7,33.3
655,30,48,37070.0,Graduate,Single,2,231,7,137,4,15,39,9,8,1,5,7,433,14,30.9,64.3
613,2,52,81975.0,Undergraduate,Divorced,1,983,76,184,180,138,27,1,4,3,6,7,1588,13,122.2,7.7
599,65,43,38590.0,Graduate,Together,1,3,1,8,4,3,3,1,2,0,1,8,22,3,7.3,33.3
263,37,63,15033.0,Graduate,Single,0,0,4,5,6,0,4,1,3,0,1,3,19,4,4.8,25.0
652,89,49,62745.0,Postgraduate,Married,1,562,21,464,28,10,32,3,11,8,7,5,1117,26,43.0,11.5
479,49,39,22212.0,Undergraduate,Married,1,5,9,20,6,8,21,2,4,0,2,6,69,6,11.5,33.3
632,46,32,23661.0,Postgraduate,Together,1,18,0,4,0,0,1,1,3,0,1,7,23,4,5.8,25.0
634,32,56,79761.0,Postgraduate,Single,1,415,5,124,15,35,11,1,11,2,5,3,605,18,33.6,5.6
374,54,41,7500.0,Graduate,Single,1,5,3,10,12,7,20,4,3,1,3,7,57,7,8.1,57.1
433,98,46,73455.0,Graduate,Widow,0,901,61,757,186,163,20,1,10,5,6,3,2088,21,99.4,4.8
742,97,56,64961.0,Graduate,Together,1,382,114,276,75,124,38,2,4,4,6,3,1009,14,72.1,14.3
