,Campaign #1,Campaign #2,Campaign #3,Campaign #4,Campaign #5,Campaign #6,Cluster
196,0,0,0,0,1,0,Super Client
197,0,0,0,0,0,0,Super Client
198,0,0,1,0,0,1,Potential Good Client
199,0,0,0,1,0,0,Good Client
200,0,0,0,0,0,0,Super Client
201,0,0,0,0,0,0,Good Client
202,1,0,0,1,1,1,Super Client
203,0,0,0,0,0,0,Casual Client
204,0,0,1,0,0,1,Casual Client
205,0,0,1,0,0,0,Casual Client
206,0,0,0,0,0,0,Potential Good Client
207,0,0,0,0,0,0,Casual Client
208,0,0,1,0,0,1,Good Client
209,0,0,0,0,0,0,Potential Good Client
210,0,0,0,0,0,0,Super Client
211,0,0,0,0,0,0,Potential Good Client
212,0,0,0,0,0,0,Potential Good Client
213,0,0,0,0,0,0,Super Client
214,0,0,0,0,0,0,Potential Good Client
215,0,0,0,0,0,0,Casual Client
216,0,0,0,1,1,0,Super Client
217,0,0,0,0,0,0,Potential Good Client
218,0,0,0,0,0,0,Good Client
219,0,0,0,0,0,0,Casual Client
220,0,0,0,0,0,0,Super Client
221,0,0,0,0,0,0,Good Client
222,0,0,0,0,0,0,Potential Good Client
223,0,0,0,0,0,0,Good Client
224,0,0,0,0,0,0,Casual Client
225,0,0,0,0,0,0,Good Client
226,0,0,0,0,0,0,Good Client
227,0,0,0,0,0,0,Super Client
228,0,0,0,0,0,0,Casual Client
229,0,0,0,0,0,1,Potential Good Client
230,0,0,0,0,1,0,Super Client
231,0,0,0,0,0,0,Casual Client
232,0,0,0,0,0,0,Casual Client
233,0,0,0,0,0,0,Good Client
234,0,0,0,0,0,0,Casual Client
235,0,0,0,0,0,0,Casual Client
236,0,0,0,0,0,0,Good Client
237,0,0,0,0,0,0,Casual Client
238,0,0,0,1,0,0,Super Client
239,0,0,0,0,0,0,Super Client
240,0,0,0,0,0,0,Casual Client
241,1,0,0,0,0,1,Super Client
242,0,0,0,0,0,0,Good Client
243,0,0,0,0,0,0,Casual Client
244,1,0,0,1,1,1,Good Client
245,0,0,0,0,0,0,Good Client
246,0,0,0,0,0,0,Super Client
247,0,0,0,0,0,0,Good Client
248,0,0,0,0,0,0,Casual Client
249,0,0,0,0,0,0,Casual Client
250,1,1,0,1,1,1,Super Client
251,0,0,0,0,0,0,Casual Client
252,0,0,0,0,0,0,Good Client
253,0,0,0,0,0,0,Casual Client
254,0,0,0,1,0,0,Good Client
255,0,0,0,0,0,0,Casual Client
256,0,0,0,0,0,0,Casual Client
257,0,0,0,0,0,0,Casual Client
258,0,0,1,0,0,1,Casual Client
259,0,0,0,0,0,0,Good Client
260,0,0,0,0,0,0,Potential Good Client
261,0,0,0,0,0,0,Casual Client
262,0,0,0,0,0,1,Potential Good Client
263,0,0,0,0,0,0,Potential Good Client
264,0,0,1,0,0,0,Super Client
265,0,0,1,0,0,1,Potential Good Client
266,0,0,0,0,0,0,Super Client
267,0,0,0,0,0,0,Casual Client
268,0,0,0,0,0,1,Super Client
269,0,0,0,0,0,0,Casual Client
270,0,0,0,0,0,0,Casual Client
271,0,0,0,0,0,0,Casual Client
272,0,0,0,0,0,0,Casual Client
273,0,0,0,0,0,0,Good Client
274,0,0,0,0,0,1,Super Client
275,0,0,0,0,0,0,Super Client
276,1,0,0,0,0,1,Super Client
277,0,0,0,0,0,0,Good Client
278,0,0,0,0,0,0,Casual Client
279,0,0,0,0,0,0,Good Client
280,0,0,0,0,0,0,Casual Client
281,0,0,0,0,0,0,Good Client
282,0,0,0,0,0,0,Casual Client
283,0,0,0,0,0,0,Casual Client
284,0,0,0,0,0,0,Super Client
285,0,0,0,0,0,0,Potential Good Client
286,0,0,0,0,0,0,Super Client
287,0,0,0,0,0,0,Potential Good Client
288,0,0,1,0,0,0,Casual Client
289,0,0,0,0,0,0,Casual Client
290,0,0,0,0,1,0,Super Client
291,0,0,0,0,0,0,Casual Client
292,0,0,0,0,0,0,Casual Client
293,0,1,0,1,0,0,Good Client
294,0,0,0,0,0,0,Casual Client
295,0,0,0,0,0,0,Casual Client
296,0,0,0,0,0,0,Super Client
297,0,0,0,1,0,0,Good Client
298,0,0,0,0,0,0,Casual Client
299,0,0,0,0,0,0,Good Client
300,0,0,0,0,0,0,Casual Client
301,0,0,0,0,0,0,Casual Client
302,0,0,0,0,0,0,Casual Client
303,1,0,0,0,0,0,Super Client
304,0,0,0,0,0,1,Casual Client
305,0,0,0,0,1,0,Super Client
306,0,0,0,1,0,0,Potential Good Client
307,0,0,0,0,0,0,Casual Client
308,0,0,0,0,0,0,Casual Client
309,0,0,0,0,0,0,Casual Client
310,1,0,0,1,0,0,Super Client
311,0,0,0,0,0,0,Super Client
312,0,0,0,0,0,0,Potential Good Client
313,0,0,0,0,0,0,Casual Client
314,0,0,0,0,0,0,Casual Client
315,0,0,0,0,0,0,Good Client
316,0,0,0,0,0,0,Casual Client
317,1,0,0,1,0,0,Potential Good Client
318,0,0,0,0,0,0,Good Client
319,0,0,0,0,0,0,Casual Client
320,0,0,0,0,0,0,Casual Client
321,0,0,0,0,0,0,Good Client
322,0,0,0,0,0,0,Potential Good Client
323,0,0,0,0,0,0,Super Client
324,0,0,0,0,0,0,Casual Client
325,0,0,0,0,0,0,Casual Client
326,0,0,0,0,0,0,Casual Client
327,0,0,0,0,0,0,Casual Client
328,0,0,0,0,0,0,Casual Client
329,0,0,0,0,0,0,Casual Client
330,0,0,0,0,0,1,Good Client
331,0,0,1,0,0,1,Casual Client
332,0,0,0,0,0,0,Casual Client
333,0,0,0,0,0,0,Good Client
334,1,0,0,1,1,1,Super Client
335,0,0,0,0,0,0,Casual Client
336,0,0,0,0,1,1,Super Client
337,0,0,0,0,0,0,Super Client
338,0,0,0,0,0,0,Casual Client
339,0,1,0,1,0,0,Good Client
340,0,0,0,0,0,0,Good Client
341,0,0,1,0,0,1,Casual Client
342,0,0,0,0,0,0,Super Client
343,0,0,0,0,0,0,Casual Client
344,0,0,0,0,0,1,Super Client
345,0,0,0,0,0,0,Casual Client
346,0,0,1,0,0,0,Casual Client
347,0,0,0,0,0,0,Good Client
348,0,0,1,0,1,0,Super Client
349,0,0,0,0,0,1,Good Client
350,0,0,0,0,0,0,Super Client
351,0,0,0,0,0,0,Good Client
352,0,0,0,0,0,0,Casual Client
353,0,0,0,1,0,0,Casual Client
354,0,0,0,0,0,0,Super Client
355,0,0,0,0,0,0,Good Client
356,0,0,0,0,0,0,Potential Good Client
357,0,0,0,1,0,0,Super Client
358,0,0,0,0,0,0,Good Client
359,0,0,0,0,0,0,Casual Client
360,0,0,0,0,0,0,Casual Client
361,0,0,0,0,0,0,Potential Good Client
362,0,0,0,0,0,0,Good Client
363,0,0,0,0,0,0,Super Client
364,0,0,0,0,0,0,Casual Client
365,0,0,0,0,0,0,Super Client
366,0,0,0,0,0,0,Good Client
367,0,0,0,0,0,0,Casual Client
368,0,0,0,0,0,0,Potential Good Client
369,0,0,1,0,0,0,Casual Client
370,0,0,0,1,0,0,Good Client
371,0,0,0,0,0,1,Casual Client
372,0,0,0,0,0,0,Potential Good Client
373,0,0,1,0,0,1,Casual Client
374,0,0,0,0,0,0,Casual Client
375,0,0,0,0,0,0,Good Client
376,0,0,0,0,0,0,Casual Client
377,0,0,0,0,0,0,Casual Client
378,0,0,0,0,0,0,Casual Client
379,0,0,0,0,0,0,Potential Good Client
380,0,0,0,0,0,0,Potential Good Client
381,0,0,0,0,0,0,Casual Client
382,0,0,0,0,0,0,Casual Client
383,0,0,0,1,0,1,Potential Good Client
384,0,0,0,0,0,0,Good Client
385,0,0,0,0,0,0,Casual Client
386,0,0,0,0,0,0,Good Client
387,0,0,0,0,1,0,Super Client
388,0,0,0,0,0,0,Casual Client
389,0,0,0,0,0,0,Super Client
390,0,0,0,0,0,0,Potential Good Client
391,0,0,0,0,0,0,Good Client
392,0,0,0,0,0,0,Super Client
393,0,0,0,0,0,0,Potential Good Client
394,0,0,0,0,0,1,Casual Client
395,0,0,0,0,0,0,Casual Client
396,0,0,0,0,0,1,Casual Client
397,0,0,0,0,0,0,Casual Client
398,0,0,0,0,0,0,Super Client
399,0,0,0,0,0,0,Casual Client
400,0,0,0,0,0,0,Casual Client
401,0,0,0,1,0,1,Potential Good Client
402,0,0,0,0,0,0,Casual Client
403,0,0,0,0,0,1,Casual Client
404,0,0,0,0,0,0,Potential Good Client
405,0,0,0,0,0,0,Casual Client
406,0,0,0,0,0,0,Potential Good Client
407,0,0,0,0,0,1,Casual Client
408,0,0,0,0,0,0,Good Client
409,1,0,0,0,0,0,Good Client
410,0,0,0,0,0,0,Casual Client
411,0,0,0,0,0,0,Good Client
412,0,0,0,0,0,0,Super Client
413,0,0,1,0,0,0,Casual Client
414,1,1,0,1,1,0,Super Client
415,1,0,0,0,1,1,Super Client
416,0,0,0,0,0,0,Potential Good Client
417,0,0,0,0,0,0,Casual Client
418,0,0,0,0,0,0,Casual Client
419,0,0,0,0,0,0,Casual Client
420,0,0,0,1,1,1,Super Client
421,0,0,0,0,1,0,Super Client
422,0,0,0,0,0,0,Casual Client
423,1,0,0,1,1,0,Super Client
424,1,0,0,1,0,0,Good Client
425,0,0,0,0,0,0,Casual Client
426,0,0,0,0,0,0,Super Client
427,1,1,0,1,1,1,Super Client
428,0,0,0,0,0,0,Potential Good Client
429,0,0,0,0,0,0,Good Client
430,0,0,0,0,0,0,Super Client
431,0,0,0,0,0,0,Casual Client
432,0,0,0,0,0,0,Casual Client
433,0,0,0,0,0,0,Good Client
434,0,0,0,0,0,0,Potential Good Client
435,0,0,0,0,0,0,Casual Client
436,0,0,0,0,0,0,Casual Client
437,0,0,0,0,0,0,Casual Client
438,0,0,0,0,0,0,Casual Client
439,0,0,0,0,0,0,Casual Client
440,0,0,0,0,0,0,Casual Client
441,0,0,0,0,0,0,Casual Client
442,0,0,0,0,0,0,Casual Client
443,0,0,0,0,0,0,Potential Good Client
444,1,0,1,0,0,0,Super Client
445,0,0,0,0,0,0,Casual Client
446,0,0,0,0,0,0,Good Client
447,0,0,0,0,0,0,Good Client
448,0,0,0,0,0,0,Good Client
449,0,0,0,0,0,0,Casual Client
450,0,0,0,0,0,0,Good Client
451,0,0,0,0,0,0,Good Client
452,0,0,0,0,0,0,Potential Good Client
453,1,0,0,1,0,1,Super Client
454,0,0,1,0,0,1,Potential Good Client
455,0,0,0,0,0,0,Casual Client
456,0,0,0,0,0,0,Super Client
457,1,0,0,0,0,1,Good Client
458,0,0,0,0,0,0,Super Client
459,0,0,0,0,0,0,Potential Good Client
460,0,0,1,0,0,0,Super Client
461,0,0,0,0,0,0,Casual Client
462,0,0,0,0,0,0,Super Client
463,0,0,0,1,1,1,Super Client
464,0,0,0,0,0,0,Casual Client
465,0,0,0,0,0,0,Potential Good Client
466,0,0,0,0,0,0,Good Client
467,0,0,0,0,0,0,Super Client
468,0,0,0,0,0,1,Casual Client
469,0,0,0,1,0,1,Good Client
470,0,0,0,0,0,0,Casual Client
471,0,0,0,0,0,0,Casual Client
472,0,0,0,0,0,0,Good Client
473,0,0,0,0,0,0,Casual Client
474,0,0,0,0,0,0,Good Client
475,0,0,0,0,0,0,Potential Good Client
476,0,0,0,0,0,0,Potential Good Client
477,0,0,0,0,0,0,Casual Client
478,0,0,0,0,0,0,Casual Client
479,0,0,1,0,0,1,Casual Client
480,0,0,0,0,0,0,Casual Client
481,0,0,0,0,0,0,Good Client
482,0,0,0,0,0,1,Super Client
483,0,0,0,0,0,0,Good Client
484,0,0,0,0,0,0,Good Client
485,0,0,0,0,0,0,Casual Client
486,0,0,0,0,0,0,Casual Client
487,0,0,0,0,0,0,Super Client
488,0,0,0,0,0,0,Potential Good Client
489,1,0,0,0,0,0,Super Client
490,0,0,0,0,0,0,Potential Good Client
491,0,0,0,1,0,0,Good Client
492,0,0,0,0,0,0,Good Client
493,0,0,0,0,0,0,Casual Client
494,0,0,0,0,0,0,Good Client
495,0,0,0,0,0,0,Good Client
496,0,0,0,0,0,0,Good Client
497,0,0,0,0,0,0,Casual Client
498,0,0,0,0,0,0,Casual Client
499,0,0,0,0,0,0,Casual Client
500,0,0,0,0,0,0,Good Client
501,0,0,0,0,0,0,Casual Client
502,0,0,0,0,0,0,Good Client
503,0,0,0,0,0,0,Super Client
504,0,0,0,0,0,0,Super Client
505,0,0,0,0,0,0,Casual Client
506,0,0,0,0,0,0,Good Client
507,0,0,1,0,0,0,Potential Good Client
508,0,0,0,0,0,0,Super Client
509,0,0,0,1,0,0,Potential Good Client
510,0,0,0,0,1,0,Super Client
511,0,0,0,0,0,0,Potential Good Client
512,0,0,0,0,0,0,Super Client
513,0,0,0,0,0,0,Casual Client
514,0,0,0,0,0,0,Casual Client
515,0,0,0,0,0,0,Super Client
516,1,0,0,0,1,0,Super Client
517,0,0,0,0,0,0,Casual Client
518,0,0,1,0,0,0,Super Client
519,0,0,0,0,0,0,Casual Client
520,0,0,0,1,1,0,Good Client
521,0,0,0,0,0,1,Casual Client
522,0,0,0,0,0,0,Casual Client
523,0,0,0,0,0,0,Good Client
524,0,0,0,0,0,0,Good Client
525,0,0,0,0,0,0,Super Client
526,0,0,0,0,0,0,Potential Good Client
527,0,0,0,0,0,0,Good Client
528,0,0,0,0,0,0,Super Client
529,0,0,0,1,0,0,Potential Good Client
530,0,0,0,0,0,0,Casual Client
531,0,0,0,0,0,0,Casual Client
532,0,0,0,0,0,0,Potential Good Client
533,0,0,0,0,0,0,Casual Client
534,0,0,0,0,1,1,Super Client
535,0,0,0,0,0,0,Casual Client
536,0,0,0,0,0,0,Casual Client
537,0,0,0,0,0,0,Casual Client
538,0,0,0,0,0,0,Casual Client
539,0,0,0,0,0,0,Potential Good Client
540,0,0,0,1,1,1,Super Client
541,0,0,0,0,0,0,Good Client
542,0,0,0,0,0,0,Casual Client
543,0,0,0,0,0,1,Super Client
544,0,0,0,0,0,0,Casual Client
545,0,0,1,0,0,1,Casual Client
546,0,0,0,0,0,0,Casual Client
547,0,0,0,0,0,0,Casual Client
548,0,0,1,0,0,1,Casual Client
549,0,0,0,0,0,0,Potential Good Client
550,0,0,0,0,0,0,Casual Client
551,0,0,0,0,0,1,Super Client
552,0,0,0,0,0,0,Potential Good Client
553,0,0,0,0,0,0,Good Client
554,0,0,0,0,1,0,Super Client
555,0,0,0,0,0,0,Casual Client
556,1,1,0,1,1,1,Super Client
557,0,0,0,0,0,0,Casual Client
558,0,0,0,0,0,0,Super Client
559,0,0,0,0,0,0,Good Client
560,0,0,0,0,0,0,Super Client
561,0,0,0,0,0,0,Potential Good Client
562,0,0,0,0,0,0,Potential Good Client
563,0,0,0,0,0,0,Good Client
564,0,0,0,0,0,0,Casual Client
565,0,0,0,0,0,0,Casual Client
566,0,0,0,0,0,0,Casual Client
567,0,0,0,0,0,0,Potential Good Client
568,0,0,0,0,0,0,Casual Client
569,0,0,0,0,0,0,Casual Client
570,0,0,0,0,0,0,Potential Good Client
571,0,0,0,0,0,0,Casual Client
572,1,1,0,1,0,1,Good Client
573,0,0,0,0,0,0,Casual Client
574,0,0,0,0,0,0,Casual Client
575,0,0,0,0,0,0,Casual Client
576,0,0,0,0,0,0,Potential Good Client
577,0,0,0,1,0,0,Potential Good Client
578,0,0,0,0,0,0,Potential Good Client
579,0,0,0,0,0,0,Casual Client
580,0,0,0,0,0,0,Casual Client
581,0,0,0,0,0,0,Casual Client
582,0,0,0,0,0,0,Casual Client
583,1,0,1,0,1,1,Super Client
584,0,0,0,0,0,0,Good Client
585,0,0,0,1,0,0,Potential Good Client
586,0,0,0,0,0,0,Casual Client
587,0,0,0,0,0,1,Casual Client
588,1,0,0,0,1,1,Super Client
589,0,0,0,0,0,0,Super Client
590,0,0,0,0,0,0,Casual Client
591,0,0,0,0,0,0,Good Client
592,0,0,0,0,0,1,Casual Client
593,0,0,0,0,0,0,Casual Client
594,0,0,0,0,0,0,Casual Client
595,0,0,0,0,0,0,Casual Client
596,0,0,0,0,0,0,Casual Client
597,0,0,0,0,0,0,Casual Client
598,0,0,0,0,0,0,Good Client
599,0,0,0,0,0,0,Super Client
600,0,0,0,0,0,0,Potential Good Client
601,0,0,0,0,0,0,Potential Good Client
602,0,0,0,0,0,1,Potential Good Client
603,0,0,0,0,0,0,Casual Client
604,0,0,0,0,0,0,Casual Client
605,0,0,0,0,0,0,Casual Client
606,1,0,0,0,0,0,Super Client
607,0,0,0,0,0,0,Casual Client
608,0,0,0,0,0,0,Potential Good Client
609,0,0,0,0,0,0,Casual Client
610,0,0,0,0,0,0,Casual Client
611,0,0,0,0,0,1,Good Client
612,0,0,0,0,0,0,Potential Good Client
613,0,0,0,0,0,0,Casual Client
614,0,0,0,0,0,0,Casual Client
615,0,0,0,0,0,0,Casual Client
616,0,0,0,0,0,0,Potential Good Client
617,0,0,0,0,0,0,Potential Good Client
618,0,0,0,0,0,0,Casual Client
619,0,0,0,1,1,0,Super Client
620,0,0,0,0,0,0,Casual Client
621,1,0,0,0,0,0,Super Client
622,0,0,0,0,0,0,Casual Client
623,0,0,0,0,0,0,Super Client
624,0,0,0,0,0,1,Good Client
625,0,0,0,0,0,0,Potential Good Client
626,0,0,0,0,0,0,Casual Client
627,0,0,0,0,0,0,Good Client
628,0,0,0,0,0,0,Good Client
629,0,0,0,0,0,0,Super Client
630,0,0,1,0,0,1,Casual Client
631,0,0,0,0,0,1,Super Client
632,0,0,0,0,0,0,Casual Client
633,0,0,0,0,0,0,Super Client
634,0,0,0,0,0,0,Good Client
635,0,0,0,0,0,1,Good Client
636,0,0,1,0,0,0,Good Client
637,0,0,0,0,0,0,Good Client
638,0,0,0,0,0,0,Super Client
639,0,0,0,0,0,0,Good Client
640,0,0,1,0,0,0,Good Client
641,0,0,0,1,1,1,Super Client
642,0,0,0,0,0,0,Potential Good Client
643,1,0,0,0,1,1,Super Client
644,0,0,0,0,0,0,Casual Client
645,0,0,0,0,0,0,Good Client
646,0,0,0,0,0,0,Good Client
647,0,0,0,1,0,0,Super Client
648,0,0,0,0,0,0,Casual Client
649,0,0,0,0,0,0,Good Client
650,0,0,0,0,0,0,Casual Client
651,0,0,0,0,0,0,Potential Good Client
652,0,0,0,0,0,0,Casual Client
653,0,0,0,0,0,0,Casual Client
654,0,0,0,0,0,0,Casual Client
655,0,0,0,0,0,0,Good Client
656,0,0,1,0,0,0,Potential Good Client
657,0,0,0,0,0,0,Potential Good Client
658,0,0,0,0,0,0,Casual Client
659,0,0,0,0,0,0,Super Client
660,0,0,0,0,0,0,Casual Client
661,0,0,0,0,0,0,Casual Client
662,0,0,0,0,0,0,Casual Client
663,0,0,0,0,0,0,Casual Client
664,0,0,0,0,0,0,Casual Client
665,0,0,0,0,0,0,Casual Client
666,0,0,0,0,0,0,Casual Client
667,0,0,0,0,0,0,Good Client
668,0,0,0,0,0,0,Potential Good Client
669,0,0,0,0,0,0,Good Client
670,0,0,0,0,0,0,Good Client
671,0,0,0,0,0,0,Good Client
672,0,0,0,0,0,0,Casual Client
673,1,0,0,0,0,1,Good Client
674,0,0,0,0,0,0,Super Client
675,0,0,1,0,0,1,Casual Client
676,0,0,0,0,0,0,Super Client
677,0,0,0,0,0,0,Good Client
678,0,0,0,0,0,0,Super Client
679,0,0,0,0,0,0,Good Client
680,0,0,0,0,0,0,Casual Client
681,0,0,0,0,0,0,Super Client
682,0,0,0,0,0,0,Good Client
683,0,0,0,0,0,1,Super Client
684,0,0,0,0,0,0,Good Client
685,1,0,0,0,1,0,Super Client
686,0,0,0,0,0,0,Super Client
687,0,0,0,1,0,1,Potential Good Client
688,0,0,0,0,0,0,Super Client
689,0,0,0,0,0,0,Potential Good Client
690,0,0,0,0,0,0,Casual Client
691,0,0,0,0,0,1,Potential Good Client
692,0,0,0,0,0,0,Casual Client
693,0,0,0,0,0,0,Casual Client
694,0,0,0,0,0,1,Casual Client
695,0,0,0,0,0,0,Good Client
696,1,0,0,0,0,0,Super Client
697,0,0,0,0,0,0,Good Client
698,0,0,0,0,0,0,Good Client
699,0,0,1,0,0,0,Good Client
